Immunization Status of School-Age Children in Illinois for School Year 2014-2015,,,,,,,,,,,,,,,,
Region-County-District-Type-School (RCDTS) ,District,Facility,,,,,,Polio,,,,,,,,
,,,Enrollment PreK-12,Unduplicated Count  Non-compliant-Immunization Requirements,Non-compliant with Physical Exam Only,Total Excluded,School Compliance %,Protected and in compliance,Religious objection,Medical reasons ,Approved schedule,McKinney Vento Act,Unprotected and in noncompliance,Vaccination Acquired,No Vaccination,Protection %
050160540041018,Schaumburg CCSD 54,Dwight D Eisenhower JHS,565,3,0,3,99.47%,558,4,1,0,0,2,558,7,98.76%
050160540041019,Schaumburg CCSD 54,Margaret Mead JHS,614,1,0,1,99.84%,610,2,0,0,1,1,610,4,99.35%
050160540041020,Schaumburg CCSD 54,Helen Keller JHS,556,2,0,2,99.64%,551,1,1,2,0,1,551,5,99.10%
050160540042002,Schaumburg CCSD 54,Buzz Aldrin Elem School,543,2,0,2,99.63%,535,3,3,0,0,2,535,8,98.53%
050160540042003,Schaumburg CCSD 54,Neil Armstrong Elem School,462,12,0,12,97.40%,455,0,0,2,0,5,455,7,98.48%
050160540042005,Schaumburg CCSD 54,Campanelli Elem School,480,0,0,0,100.00%,476,0,2,2,0,0,476,4,99.17%
050160540042006,Schaumburg CCSD 54,Winston Churchill Elem School,471,0,0,0,100.00%,467,3,0,1,0,0,467,4,99.15%
050160540042007,Schaumburg CCSD 54,Michael Collins Elem School,656,0,1,1,99.85%,647,8,1,0,0,0,647,9,98.63%
050160540042008,Schaumburg CCSD 54,Everett Dirksen Elementary Sch,412,0,0,0,100.00%,403,8,1,0,0,0,403,9,97.82%
050160540042009,Schaumburg CCSD 54,Thomas Dooley Elem School,403,1,0,1,99.75%,395,3,1,3,0,1,395,8,98.01%
050160540042010,Schaumburg CCSD 54,Fairview Elem School,549,9,0,0,98.36%,533,6,0,0,8,2,533,16,97.09%
050160540042011,Schaumburg CCSD 54,Anne Fox Elem School,418,1,0,1,99.76%,413,3,1,0,0,1,413,5,98.80%
050160540042013,Schaumburg CCSD 54,Hanover Highlands Elem School,458,6,2,7,98.25%,453,2,0,0,0,3,453,5,98.91%
050160540042015,Schaumburg CCSD 54,Nathan Hale Elem School,440,1,0,1,99.77%,432,6,1,0,0,1,432,8,98.18%
050160540042018,Schaumburg CCSD 54,Lakeview Elem School,522,14,1,6,97.13%,509,2,4,2,0,5,509,13,97.51%
050160540042019,Schaumburg CCSD 54,MacArthur International Spanish Academy,387,0,0,0,100.00%,386,1,0,0,0,0,386,1,99.74%
050160540042022,Schaumburg CCSD 54,John Muir Literacy Academy,449,4,4,2,98.22%,444,0,0,3,0,2,444,5,98.89%
050160540042023,Schaumburg CCSD 54,Adolph Link Elem School,575,2,71,2,87.30%,562,10,1,0,0,2,562,13,97.74%
050160540042026,Schaumburg CCSD 54,Albert Einstein Elem School,491,10,3,13,97.35%,479,6,0,3,0,3,479,12,97.56%
050160540042027,Schaumburg CCSD 54,Hoover Math and Science Academy,689,0,0,0,100.00%,681,4,3,1,0,0,681,8,98.84%
050160540042028,Schaumburg CCSD 54,Adlai Stevenson Elem School,467,2,0,2,99.57%,463,3,0,0,0,1,463,4,99.14%
050160540042029,Schaumburg CCSD 54,Frederick Nerge Elem School,562,9,0,9,98.40%,561,0,0,0,0,1,561,1,99.82%
050160540042030,Schaumburg CCSD 54,Enders-Salk Elem School,485,12,1,9,97.32%,474,5,0,0,0,6,474,11,97.73%
050160540042031,Schaumburg CCSD 54,Elizabeth Blackwell Elem School,450,2,0,1,99.56%,444,2,3,0,0,1,444,6,98.67%
050160540042032,Schaumburg CCSD 54,Lincoln Prairie School,386,3,0,0,99.22%,373,9,3,0,0,1,373,13,96.63%
050160540043111,Schaumburg CCSD 54,The District 54 Early Learning Center,591,0,0,0,100.00%,588,3,0,0,0,0,588,3,99.49%
050160570021004,Mount Prospect SD 57,Lincoln Middle School,710,0,0,0,100.00%,707,3,0,0,0,0,707,3,99.58%
050160570022002,Mount Prospect SD 57,Fairview Elem School,503,0,0,0,100.00%,497,5,1,0,0,0,497,6,98.81%
050160570022005,Mount Prospect SD 57,Lions Park Elem School,458,0,0,0,100.00%,452,6,0,0,0,0,452,6,98.69%
050160570022008,Mount Prospect SD 57,Westbrook Early Learning Cntr,566,0,0,0,100.00%,551,13,1,1,0,0,551,15,97.35%
050160590041010,Comm Cons SD 59,Grove Jr High School,911,0,0,0,100.00%,908,3,0,0,0,0,908,3,99.67%
050160590041012,Comm Cons SD 59,Holmes Jr High School,522,8,0,0,98.47%,521,1,0,0,0,0,521,1,99.81%
050160590041016,Comm Cons SD 59,Friendship Jr High School,760,4,0,0,99.47%,757,2,0,0,0,1,757,3,99.61%
050160590042001,Comm Cons SD 59,Brentwood Elem School,444,0,0,0,100.00%,444,0,0,0,0,0,444,0,100.00%
050160590042002,Comm Cons SD 59,Adm Richard E Byrd Elem School,377,1,0,0,99.73%,376,0,0,0,0,1,376,1,99.73%
050160590042003,Comm Cons SD 59,Clearmont Elem School,419,0,0,0,100.00%,415,4,0,0,0,0,415,4,99.05%
050160590042006,Comm Cons SD 59,Devonshire School,442,0,0,0,100.00%,440,1,0,0,1,0,440,2,99.55%
050160590042008,Comm Cons SD 59,Forest View Elem School,491,4,1,0,98.98%,483,5,1,0,0,2,483,8,98.37%
050160590042009,Comm Cons SD 59,Robert Frost Elem School,453,0,0,0,100.00%,448,4,1,0,0,0,448,5,98.90%
050160590042014,Comm Cons SD 59,John Jay Elem School,427,0,0,0,100.00%,427,0,0,0,0,0,427,0,100.00%
050160590042016,Comm Cons SD 59,Juliette Low Elem School,497,1,0,0,99.80%,495,0,0,0,1,1,495,2,99.60%
050160590042018,Comm Cons SD 59,Rupley Elem School,468,0,0,0,100.00%,463,5,0,0,0,0,463,5,98.93%
050160590042019,Comm Cons SD 59,Salt Creek Elem School,451,0,0,0,100.00%,451,0,0,0,0,0,451,0,100.00%
050160590042020,Comm Cons SD 59,Ridge Family Center for Learning,337,0,0,0,100.00%,325,5,7,0,0,0,325,12,96.44%
050160620041001,CCSD 62,Algonquin Middle School,668,2,0,0,99.70%,661,2,0,5,0,0,661,7,98.95%
050160620041003,CCSD 62,Chippewa Middle School,684,5,0,2,99.27%,678,2,0,1,0,3,678,6,99.12%
050160620042001,CCSD 62,Iroquois Community School,480,2,0,0,99.58%,476,0,1,3,0,0,476,4,99.17%
050160620042002,CCSD 62,Central Elem School,325,1,6,0,97.85%,322,3,0,0,0,0,322,3,99.08%
050160620042004,CCSD 62,Cumberland Elem School,258,3,0,0,98.84%,251,2,1,1,0,3,251,7,97.29%
050160620042005,CCSD 62,Forest Elem School,823,2,3,1,99.39%,815,2,1,3,0,2,815,8,99.03%
050160620042008,CCSD 62,North Elementary School,582,13,2,5,97.42%,560,1,0,9,0,12,560,22,96.22%
050160620042009,CCSD 62,Orchard Place Elem School,320,4,0,1,98.75%,317,0,0,0,0,3,317,3,99.06%
050160620042010,CCSD 62,Plainfield Elem School,349,14,0,0,95.99%,335,0,0,0,0,14,335,14,95.99%
050160620042011,CCSD 62,South Elem School,252,1,2,0,98.81%,247,2,2,1,0,0,247,5,98.02%
050160620042012,CCSD 62,Terrace Elem School,252,5,2,0,97.22%,245,3,0,0,0,4,245,7,97.22%
050160630021003,East Maine SD 63,Gemini Jr High School,773,0,0,0,100.00%,771,2,0,0,0,0,771,2,99.74%
050160630022006,East Maine SD 63,V H Nelson Elem School,605,0,0,0,100.00%,604,1,0,0,0,0,604,1,99.83%
050160630022008,East Maine SD 63,Stevenson School,450,0,0,0,100.00%,447,3,0,0,0,0,447,3,99.33%
050160630022009,East Maine SD 63,Mark Twain Elem School,380,1,0,0,99.74%,376,1,0,2,0,1,376,4,98.95%
050160630022010,East Maine SD 63,Washington Elem School,313,1,0,0,99.68%,312,1,0,0,0,0,312,1,99.68%
050160630022011,East Maine SD 63,Melzer School,478,0,0,0,100.00%,475,2,0,1,0,0,475,3,99.37%
050160630022012,East Maine SD 63,Apollo Elem School,617,2,0,0,99.68%,614,1,0,0,0,2,614,3,99.51%
050160640041006,Park Ridge CCSD 64,Emerson Middle School,847,3,1,3,99.53%,839,8,0,0,0,0,839,8,99.06%
050160640041007,Park Ridge CCSD 64,Lincoln Middle School,726,1,0,1,99.86%,721,5,0,0,0,0,721,5,99.31%
050160640042001,Park Ridge CCSD 64,George B Carpenter Elem School,447,0,0,0,100.00%,445,2,0,0,0,0,445,2,99.55%
050160640042004,Park Ridge CCSD 64,Eugene Field Elem School,657,1,1,2,99.70%,640,14,1,2,0,0,640,17,97.41%
050160640042005,Park Ridge CCSD 64,Franklin Elementary School,466,1,0,0,99.79%,453,12,0,0,0,1,453,13,97.21%
050160640042011,Park Ridge CCSD 64,Theodore Roosevelt Elem School,659,0,0,0,100.00%,651,5,0,3,0,0,651,8,98.79%
050160640042012,Park Ridge CCSD 64,George Washington Elem School,616,4,0,2,99.35%,602,7,0,4,0,3,602,14,97.73%
050160640042013,Park Ridge CCSD 64,Jefferson School,105,0,0,0,100.00%,105,0,0,0,0,0,105,0,100.00%
050160650041002,Evanston CCSD 65,Chute Middle School,537,0,0,0,100.00%,527,7,0,3,0,0,527,10,98.14%
050160650041007,Evanston CCSD 65,Haven Middle School,786,1,1,2,99.75%,776,7,1,2,0,0,776,10,98.73%
050160650041012,Evanston CCSD 65,Nichols Middle School,615,0,0,0,100.00%,602,9,2,2,0,0,602,13,97.89%
