Immunization School Survey Report 2004-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RCDT,Region,District,School,Total Sch. Enroll.,Total - NC,Unduplic.,Total Excluded,NC-PE Only,Polio Prot.,Polio Rel.,Polio Med.,Polio App. Sch.,Polio UP/NC,Polio Total,DTP Prot.,DTP-Rel.,DTP-Med.,DTP-AS,DTP-UP/NC,DTP-Total,Meas. Prot.,Meas. Rel.,Meas. Med.,Meas. AS,Meas. UP/NC,Meas. Total,Rubella Prot.,Rubella-Rel.,Rubella-Med.,Rubella-AS,Rubella-UP/NC,Rubella-Total,Mump Prot.,Mump Rel.,Mump Med.,Mump AS,Mump UP/NC,Mump Total,HepB Prot.,HepB Rel.,HepB Med.,HepB AS,HepB Excluded,HepB UP/NC,HepB Total,Hib Prot.,Hib Rel.,Hib Med.,Hib AS,Hib Excluded,Hib UP/NC,Hib Total,Cpox Prot.,Cpox Rel.,Cpox Med.,Cpox AS,Cpox UP/NC,Cpox Total,,,,
04004200026,04,2000,2004,184,1,0,1,1,182,2,0,0,0,184,182,2,0,0,0,184,182,2,0,0,0,184,182,2,0,0,0,184,182,2,0,0,0,184,0,0,0,0,551,0,0,0,0,0,0,"1,464",0,0,113,2,0,0,0,115,,,,
04004200026,04,2000,2005,243,0,0,0,0,242,1,0,0,0,243,242,1,0,0,0,243,242,1,0,0,0,243,242,1,0,0,0,243,242,1,0,0,0,243,242,0,0,0,1,0,242,0,0,0,0,143,0,0,0,0,0,0,0,0,,,,
04004200026,04,2000,0001,"2,246",9,3,0,6,"2,238",0,5,0,3,"2,246","2,220",8,6,9,3,"2,246","2,232",6,5,0,3,"2,246","2,232",6,5,0,3,"2,246","2,232",6,5,0,3,"2,246","2,224",9,4,6,0,3,"2,246",0,0,0,0,"2,246",0,0,0,0,0,0,0,0,,,,
04004200026,04,2000,0003,431,0,0,0,0,429,2,0,0,0,431,429,2,0,0,0,431,429,2,0,0,0,431,429,2,0,0,0,431,429,2,0,0,0,431,428,3,0,0,0,0,431,0,0,0,0,431,0,0,0,0,0,0,0,0,,,,
Totals Boone County,,,,"10,188",34,22,20,12,"10,133",26,9,3,17,"10,188","10,108",34,12,16,18,"10,188","10,118",33,14,4,19,"10,188","10,128",28,12,1,19,"10,188","10,128",28,12,1,19,"10,188","6,153",24,4,32,"4,540",6,"6,219",297,0,0,0,"11,069",2,299,"2,327",7,0,4,6,"2,344",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46005001026,46,0010,1002,245,0,0,0,0,245,0,0,0,0,245,245,0,0,0,0,245,245,0,0,0,0,245,245,0,0,0,0,245,245,0,0,0,0,245,243,0,2,0,0,0,245,0,0,0,0,245,0,0,0,0,0,0,0,0,,,,
46005001026,46,0010,2002,292,6,4,0,2,290,0,0,0,2,292,291,0,0,0,1,292,290,0,1,0,1,292,291,0,1,0,0,292,291,0,1,0,0,292,46,0,0,0,246,0,46,46,0,0,0,246,0,46,190,0,0,0,3,193,,,,
46005001026,46,0010,0001,240,6,5,0,1,239,0,0,0,1,240,235,0,0,0,5,240,239,0,0,0,1,240,239,0,0,0,1,240,239,0,0,0,1,240,238,0,0,1,0,1,240,0,0,0,0,240,0,0,0,0,0,0,0,0,,,,
