2009-2010 School Year Immunization Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RCDTS,Facility,RCDT,School,Enrollment,TotalNC,UnduplCount,NCPE,Excluded,PolioProt,PolioNcNp,PolioMedObj,PolioRelObj,PolioApprSchd,PolioTotal,DtpProt,DtpNcNp,DtpMedObj,DtpRelObj,DtpApprSchd,DtpTotal,MeasProt,MeasNcNp,MeasMedObj,MeasRelObj,MeasApprSchd,MeasTotal,RubProt,RubNcNp,RubMedObj,RubRelObj,RubApprSchd,RubTotal,MumpProt,MumpNcNp,MumpMedObj,MumpRelObj,MumpApprSchd,MumpTotal,HepProt,HepNcNp,HepMedObj,HepRelObj,HepApprSchd,HepTotal,HibProt,HibNcNp,HibMedObj,HibRelObj,HibApprSchd,HibTotal,CpoxProt,CpoxNcNp,CpoxMedObj,CpoxRelObj,CpoxApprSchd,CpoxTotal
310451010222003,Alice Gustafson Elem School,31045101022,2003,566,0,0,0,0,562,0,0,4,0,566,563,0,0,3,0,566,559,0,0,4,3,566,559,0,0,4,3,566,559,0,0,4,3,566,211,0,0,1,1,213,147,0,0,0,0,147,559,0,4,3,0,566
13014004X100000,All Saints Academy,13014004X10,0000,344,0,0,0,0,344,0,0,0,0,344,344,0,0,0,0,344,344,0,0,0,0,344,344,0,0,0,0,344,344,0,0,0,0,344,204,0,0,0,0,204,60,0,0,0,0,60,310,0,0,0,0,310
19022071X100000,All Saints Catholic Academy,19022071X10,0000,537,3,3,0,0,530,2,0,0,5,537,531,1,0,0,5,537,532,0,0,0,5,537,532,0,0,0,5,537,532,0,0,0,5,537,209,0,0,0,1,210,72,1,0,0,3,76,516,0,0,0,1,517
49081001Y100000,Alleman High School,49081001Y10,0000,447,0,0,0,0,447,0,0,0,0,447,445,0,1,0,1,447,446,0,1,0,0,447,446,0,1,0,0,447,446,0,1,0,0,447,446,0,1,0,0,447,0,0,0,0,0,0,0,0,0,0,0,0
280063030262004,Allen Junior High School,28006303026,2004,128,0,0,0,0,127,0,0,1,0,128,127,0,0,1,0,128,127,0,0,1,0,128,127,0,0,1,0,128,127,0,0,1,0,128,100,0,0,0,0,100,0,0,0,0,0,0,101,0,1,1,0,103
200930170242001,Allendale Elementary School,20093017024,2001,171,1,0,1,0,171,0,0,0,0,171,171,0,0,0,0,171,170,0,1,0,0,171,170,0,1,0,0,171,170,0,1,0,0,171,110,0,0,0,0,110,13,0,0,0,0,13,98,0,1,0,0,99
04101096X060000,Alpine Academy,04101096X06,0000,126,0,0,0,0,125,0,0,1,0,126,125,0,0,1,0,126,125,0,0,1,0,126,125,0,0,1,0,126,125,0,0,1,0,126,54,0,0,0,0,54,25,0,0,0,0,25,125,0,0,1,0,126
04101017X110000,Alpine Christian School,04101017X11,0000,30,0,0,0,0,29,0,0,1,0,30,30,0,0,0,0,30,29,0,0,1,0,30,29,0,0,1,0,30,29,0,0,1,0,30,13,0,0,0,0,13,0,0,0,0,0,0,24,0,0,0,0,24
500821890222001,Alta Sita Elem School,50082189022,2001,242,10,0,10,0,230,10,0,2,0,242,230,10,0,2,0,242,230,10,0,2,0,242,230,10,0,2,0,242,230,10,0,2,0,242,44,2,0,1,0,47,0,0,0,0,0,0,230,10,0,2,0,242
030250100262002,Altamont Grade School,03025010026,2002,505,0,0,0,0,504,0,0,1,0,505,504,0,0,1,0,505,505,0,0,0,0,505,505,0,0,0,0,505,505,0,0,0,0,505,244,0,0,1,0,245,53,0,0,0,0,53,453,0,0,1,0,454
030250100260001,Altamont High School,03025010026,0001,265,0,0,0,0,265,0,0,0,0,265,265,0,0,0,0,265,265,0,0,0,0,265,265,0,0,0,0,265,265,0,0,0,0,265,265,0,0,0,0,265,0,0,0,0,0,0,0,0,0,0,0,0
03025002X060000,Altamont Lutheran Interparish,03025002X06,0000,145,0,0,0,0,145,0,0,0,0,145,145,0,0,0,0,145,145,0,0,0,0,145,145,0,0,0,0,145,145,0,0,0,0,145,72,0,0,0,0,72,0,0,0,0,0,0,121,0,0,0,0,121
150162990252055,Altgeld Elem School,15016299025,2055,620,169,96,73,0,588,28,2,0,2,620,570,46,3,0,1,620,571,44,3,0,2,620,577,40,3,0,0,620,577,41,2,0,0,620,273,12,3,0,0,288,19,1,0,0,0,20,524,30,3,0,0,557
50082036Y100000,Althoff Catholic High School,50082036Y10,0000,472,0,0,0,0,472,0,0,0,0,472,472,0,0,0,0,472,472,0,0,0,0,472,472,0,0,0,0,472,472,0,0,0,0,472,472,0,0,0,0,472,0,0,0,0,0,0,0,0,0,0,0,0
